Microsoft (R) Macro Assembler (x64) Version 14.27.29111.0   07/26/21 14:58:20
StackMachine.asm					     Page 1 - 1



 00000000			.code

 00000000			VmEnter proc
 00000000  4D/ 89 21			mov [r9+0h],r12				;store used non volatile register
 00000003  48/ 0F B6 02			movzx rax,byte ptr[rdx]
 00000007  41/ FF 24 C0			jmp qword ptr[r8+rax*8h]	;jmp to first instruction handler
 0000000B			VmEnter endp

 0000000B			ViVmExit proc
 0000000B  4D/ 8B 21			mov r12,[r9+0h]
 0000000E  C3				ret
 0000000F			ViVmExit endp

 0000000F			ViNop proc
 0000000F  48/ 83 C2 01			add rdx,1h
 00000013  48/ 0F B6 02			movzx rax,byte ptr[rdx]
 00000017  41/ FF 24 C0			jmp qword ptr[r8+rax*8h]
 0000001B			ViNop endp

 0000001B			ViLdib proc
 0000001B  8A 42 01			mov al,byte ptr[rdx+1]
 0000001E  48/ 83 EC 01			sub rsp,1h
 00000022  88 04 24			mov byte ptr[rsp],al
 00000025  48/ 83 C2 02			add rdx,2h
 00000029  48/ 0F B6 02			movzx rax,byte ptr[rdx]
 0000002D  41/ FF 24 C0			jmp qword ptr[r8+rax*8h]
 00000031			ViLdib endp

 00000031			ViLdiw proc
 00000031  66| 8B 42 01			mov ax,word ptr[rdx+1]
 00000035  48/ 83 EC 02			sub rsp,2h
 00000039  66| 89 04 24			mov word ptr[rsp],ax
 0000003D  48/ 83 C2 03			add rdx,3h
 00000041  48/ 0F B6 02			movzx rax,byte ptr[rdx]
 00000045  41/ FF 24 C0			jmp qword ptr[r8+rax*8h]
 00000049			ViLdiw endp

 00000049			ViLdid proc
 00000049  8B 42 01			mov eax,dword ptr[rdx+1]
 0000004C  48/ 83 EC 04			sub rsp,4h
 00000050  89 04 24			mov dword ptr[rsp],eax
 00000053  48/ 83 C2 05			add rdx,5h
 00000057  48/ 0F B6 02			movzx rax,byte ptr[rdx]
 0000005B  41/ FF 24 C0			jmp qword ptr[r8+rax*8h]
 0000005F			ViLdid endp

 0000005F			ViLdiq proc
 0000005F  48/ 8B 42 01			mov rax,qword ptr[rdx+1]
 00000063  50				push rax
 00000064  48/ 83 C2 09			add rdx,9h
 00000068  48/ 0F B6 02			movzx rax,byte ptr[rdx]
 0000006C  41/ FF 24 C0			jmp qword ptr[r8+rax*8h]
 00000070			ViLdiq endp

 00000070			ViLdibsxw proc
 00000070  66| 0F BE 42			movsx ax,byte ptr[rdx+1]
	   01
 00000075  48/ 83 EC 02			sub rsp,2h
 00000079  66| 89 04 24			mov word ptr[rsp],ax
 0000007D  48/ 83 C2 02			add rdx,2h
 00000081  48/ 0F B6 02			movzx rax,byte ptr[rdx]
 00000085  41/ FF 24 C0			jmp qword ptr[r8+rax*8h]
 00000089			ViLdibsxw endp

 00000089			ViLdibsxd proc
 00000089  0F BE 42 01			movsx eax,byte ptr[rdx+1]
 0000008D  48/ 83 EC 04			sub rsp,4h
